linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
True,0,0,100,0.01,0.699084249084249,527,10,3290,1633
True,0,0,100,0.05,0.7701465201465202,987,82,3218,1173
True,0,0,100,0.1,0.7985347985347986,1244,184,3116,916
True,0,0,100,0.001,0.6483516483516483,240,0,3300,1920
True,0,0,100,0.005,0.6743589743589744,385,3,3297,1775
True,0,0,100,0.01,0.6886446886446886,472,12,3288,1688
True,0,0,100,0.05,0.7653846153846153,930,51,3249,1230
True,0,0,100,0.1,0.793956043956044,1176,141,3159,984
True,0,0,100,0.001,0.636080586080586,175,2,3298,1985
True,0,0,100,0.005,0.6595238095238095,309,8,3292,1851
True,0,0,100,0.01,0.674908424908425,402,17,3283,1758
True,0,0,100,0.05,0.7296703296703297,777,93,3207,1383
True,0,0,100,0.1,0.7615384615384615,1053,195,3105,1107
True,0,0,100,0.001,0.6445054945054944,220,1,3299,1940
True,0,0,100,0.005,0.6761904761904762,403,11,3289,1757
True,0,0,100,0.01,0.6965201465201465,519,16,3284,1641
True,0,0,100,0.05,0.7571428571428571,918,84,3216,1242
True,0,0,100,0.1,0.7855311355311355,1168,179,3121,992
True,0,0,100,0.001,0.6230769230769231,104,2,3298,2056
True,0,0,100,0.005,0.6423076923076922,216,9,3291,1944
True,0,0,100,0.01,0.6575091575091575,307,17,3283,1853
True,0,0,100,0.05,0.7181318681318681,724,103,3197,1436
True,0,0,100,0.1,0.7478021978021978,992,209,3091,1168
True,0,0,100,0.001,0.634981684981685,168,1,3299,1992
True,0,0,100,0.005,0.6558608058608059,288,7,3293,1872
True,0,0,100,0.01,0.674908424908425,399,14,3286,1761
True,0,0,100,0.05,0.7489010989010989,850,61,3239,1310
True,0,0,100,0.1,0.7924908424908425,1159,132,3168,1001
True,0,0,100,0.001,0.6274725274725275,136,10,3290,2024
True,0,0,100,0.005,0.6439560439560439,241,25,3275,1919
True,0,0,100,0.01,0.6598901098901099,340,37,3263,1820
True,0,0,100,0.05,0.7173992673992674,720,103,3197,1440
True,0,0,100,0.1,0.7496336996336996,993,200,3100,1167
True,0,0,500,0.001,0.9023809523809524,1627,0,3300,533
True,0,0,500,0.005,0.9454212454212454,1870,8,3292,290
True,0,0,500,0.01,0.958974358974359,1948,12,3288,212
True,0,0,500,0.05,0.9600732600732601,2050,108,3192,110
True,0,0,500,0.1,0.9478021978021978,2077,202,3098,83
True,0,0,500,0.001,0.8717948717948718,1460,0,3300,700
True,0,0,500,0.005,0.9252747252747253,1759,7,3293,401
True,0,0,500,0.01,0.9456043956043956,1877,14,3286,283
True,0,0,500,0.05,0.9657509157509158,2061,88,3212,99
True,0,0,500,0.1,0.9545787545787546,2107,195,3105,53
True,0,0,500,0.001,0.8926739926739927,1591,17,3283,569
True,0,0,500,0.005,0.923992673992674,1785,40,3260,375
True,0,0,500,0.01,0.9358974358974359,1875,65,3235,285
True,0,0,500,0.05,0.9391941391941392,2032,204,3096,128
True,0,0,500,0.1,0.9234432234432235,2080,338,2962,80
True,0,0,500,0.001,0.8728937728937729,1482,16,3284,678
True,0,0,500,0.005,0.9058608058608059,1718,72,3228,442
True,0,0,500,0.01,0.913003663003663,1798,113,3187,362
True,0,0,500,0.05,0.9036630036630037,1964,330,2970,196
True,0,0,500,0.1,0.86996336996337,2004,554,2746,156
True,0,0,500,0.001,0.8653846153846154,1433,8,3292,727
True,0,0,500,0.005,0.9172161172161172,1726,18,3282,434
True,0,0,500,0.01,0.9327838827838828,1826,33,3267,334
True,0,0,500,0.05,0.9397435897435897,2001,170,3130,159
True,0,0,500,0.1,0.9216117216117217,2055,323,2977,105
True,0,0,500,0.001,0.8692307692307693,1449,3,3297,711
True,0,0,500,0.005,0.9205128205128206,1735,9,3291,425
True,0,0,500,0.01,0.9432234432234432,1867,17,3283,293
True,0,0,500,0.05,0.9694139194139194,2077,84,3216,83
True,0,0,500,0.1,0.9606227106227107,2111,166,3134,49
True,0,0,500,0.001,0.9005494505494506,1621,4,3296,539
True,0,0,500,0.005,0.9397435897435897,1839,8,3292,321
True,0,0,500,0.01,0.9507326007326007,1909,18,3282,251
True,0,0,500,0.05,0.9587912087912088,2058,123,3177,102
True,0,0,500,0.1,0.9434065934065934,2102,251,3049,58
True,0,0,500,0.001,0.9186813186813186,1717,1,3299,443
True,0,0,500,0.005,0.9514652014652014,1902,7,3293,258
True,0,0,500,0.01,0.9617216117216117,1964,13,3287,196
True,0,0,500,0.05,0.9697802197802198,2077,82,3218,83
True,0,0,500,0.1,0.9525641025641025,2105,204,3096,55
True,0,0,500,0.001,0.8978021978021978,1608,6,3294,552
True,0,0,500,0.005,0.9357142857142857,1822,13,3287,338
True,0,0,500,0.01,0.9467032967032967,1895,26,3274,265
True,0,0,500,0.05,0.947985347985348,2018,142,3158,142
True,0,0,500,0.1,0.9333333333333333,2071,275,3025,89
True,0,0,500,0.001,0.8675824175824176,1439,2,3298,721
True,0,0,500,0.005,0.9287545787545788,1781,10,3290,379
True,0,0,500,0.01,0.949084249084249,1897,15,3285,263
True,0,0,500,0.05,0.96996336996337,2061,65,3235,99
True,0,0,500,0.1,0.9631868131868132,2110,151,3149,50
True,0,0,1000,0.001,0.9873626373626374,2092,1,3299,68
True,0,0,1000,0.005,0.9950549450549451,2140,7,3293,20
True,0,0,1000,0.01,0.9957875457875458,2151,14,3286,9
True,0,0,1000,0.05,0.9897435897435898,2160,56,3244,0
True,0,0,1000,0.1,0.9767399267399267,2160,127,3173,0
True,0,0,1000,0.001,0.9822344322344322,2067,4,3296,93
True,0,0,1000,0.005,0.9904761904761905,2126,18,3282,34
True,0,0,1000,0.01,0.991941391941392,2141,25,3275,19
True,0,0,1000,0.05,0.9829670329670329,2155,88,3212,5
True,0,0,1000,0.1,0.9611721611721612,2160,212,3088,0
True,0,0,1000,0.001,0.9826007326007326,2075,10,3290,85
True,0,0,1000,0.005,0.9897435897435898,2128,24,3276,32
True,0,0,1000,0.01,0.9884615384615385,2140,43,3257,20
True,0,0,1000,0.05,0.9717948717948718,2151,145,3155,9
True,0,0,1000,0.1,0.9521978021978021,2155,256,3044,5
True,0,0,1000,0.001,0.9902930402930403,2108,1,3299,52
True,0,0,1000,0.005,0.9952380952380953,2139,5,3295,21
True,0,0,1000,0.01,0.9972527472527473,2154,9,3291,6
True,0,0,1000,0.05,0.9904761904761905,2160,52,3248,0
True,0,0,1000,0.1,0.9754578754578754,2160,134,3166,0
True,0,0,1000,0.001,0.9697802197802198,1999,4,3296,161
True,0,0,1000,0.005,0.9840659340659341,2096,23,3277,64
True,0,0,1000,0.01,0.9871794871794872,2123,33,3267,37
True,0,0,1000,0.05,0.9723443223443223,2153,144,3156,7
True,0,0,1000,0.1,0.9531135531135531,2158,254,3046,2
True,0,0,1000,0.001,0.9778388278388278,2039,0,3300,121
True,0,0,1000,0.005,0.9866300366300367,2095,8,3292,65
True,0,0,1000,0.01,0.9875457875457876,2122,30,3270,38
True,0,0,1000,0.05,0.971978021978022,2152,145,3155,8
